0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
105.36,105.39,108.51,109.22,109.44,108.05,110.66,111.64,112.31,113.55,114.57,115.67,114.23,113.72,115.41,117.63,118.65,120.12,118.82,123.25,122.51,121.51,123.33,126.81,126.36,127.04,127.78,126.19,129.99,132.13,133.43,134.53,136.74,142.1,142.65,144.99,150.5,151.24,155.18,157.85
110.93,111.93,114.16,115.37,117.42,118.45,119.75,121.23,122.3,123.51,123.76,124.05,124.14,125.89,128.02,129.38,132.16,133.42,134.45,136.33,136.77,137.0,138.85,139.85,140.75,141.61,143.0,143.23,144.55,145.47,146.21,147.59,148.92,150.21,151.73,152.09,152.59,150.01,149.1,151.13
109.48,110.14,111.34,114.63,113.97,114.3,116.85,116.27,118.22,116.94,118.6,120.86,122.45,121.32,122.75,122.26,126.06,126.7,127.57,127.78,128.14,130.13,131.61,133.12,132.72,135.98,135.76,139.45,139.09,139.93,141.29,143.61,144.08,148.75,149.44,155.59,154.71,159.07,157.99,161.7
115.31,116.09,118.36,120.77,121.71,123.72,122.93,125.47,124.56,125.57,125.2,126.01,125.04,125.21,124.0,128.02,130.6,131.42,129.85,132.17,132.79,129.48,133.26,134.31,134.71,135.46,135.59,137.66,137.63,140.16,145.11,144.34,146.43,152.97,159.91,164.0,172.33,176.11,182.0,185.65
100.03,100.4,99.87,100.95,102.87,101.8,102.29,103.39,103.72,104.01,104.12,103.0,104.13,105.29,107.44,107.63,108.85,111.19,113.65,114.59,115.76,118.48,121.15,124.15,126.06,128.59,132.5,137.99,140.88,146.18,155.07,158.21,162.29,170.18,177.01,179.36,183.81,187.49,187.9,190.15
106.35,106.6,107.22,108.69,109.18,108.77,109.15,109.96,109.5,109.27,108.95,108.87,109.37,109.13,110.06,110.56,113.07,114.02,114.48,115.36,115.81,116.82,118.36,119.13,120.32,121.59,122.48,124.88,126.32,128.73,132.05,134.36,137.0,144.05,150.12,154.8,160.59,166.97,172.89,176.25
111.41,109.57,113.61,114.54,117.49,118.55,120.01,121.48,124.84,123.82,122.32,125.49,127.34,129.6,130.23,130.54,135.03,137.58,138.05,139.07,138.1,139.45,143.21,144.9,146.05,147.21,148.89,148.14,152.48,150.96,153.37,155.05,157.25,158.4,164.96,165.14,167.37,170.61,176.92,178.62
103.66,102.79,104.45,104.56,106.7,105.71,106.36,107.33,108.07,107.99,108.76,108.29,109.12,110.64,112.3,113.14,115.85,118.21,119.83,121.19,122.55,125.53,128.19,130.44,132.27,133.69,137.8,142.76,145.73,149.98,157.67,161.95,165.6,173.78,179.71,184.65,190.07,193.99,196.27,198.6
103.9,104.98,107.65,108.11,110.37,112.93,113.83,115.17,115.62,119.82,115.19,111.97,117.6,117.34,119.12,120.21,126.96,124.58,128.39,129.0,129.34,129.79,132.56,133.75,136.73,135.95,138.5,136.1,143.71,138.04,144.62,146.05,147.11,150.29,151.71,153.79,153.31,157.91,161.68,160.67
105.76,106.58,107.27,109.86,109.3,109.32,111.29,111.95,112.59,115.61,118.5,118.6,120.52,119.94,122.01,123.23,126.46,126.49,127.53,128.04,129.14,131.27,132.39,135.74,135.53,135.63,135.68,137.23,137.21,139.15,141.53,144.2,142.9,146.94,149.63,151.68,151.38,155.26,157.91,157.43
