,n_A,n_B,noise_level,iteration,method,improvement
0,500,500,0.1,0,lasso,0.0009942908548444503
1,500,500,0.1,0,ols,0.00179980024667935
2,500,500,0.1,0,ridge,0.0043180787310447
3,500,500,0.1,1,lasso,4.650108410675022e-05
4,500,500,0.1,1,ols,0.0054699184245124
5,500,500,0.1,1,ridge,0.00451156807164935
6,500,500,0.1,2,lasso,0.0009295774841435124
7,500,500,0.1,2,ols,0.11858556101823359
8,500,500,0.1,2,ridge,0.1115888952181004
9,500,500,0.1,3,lasso,0.0032256800102295003
10,500,500,0.1,3,ols,0.03404692690001915
11,500,500,0.1,3,ridge,0.04053166877809575
12,500,500,0.1,4,lasso,-0.0011908531827448498
13,500,500,0.1,4,ols,0.13740963230539543
14,500,500,0.1,4,ridge,0.09643499604820685
15,500,500,0.1,5,lasso,0.0026503771692874003
16,500,500,0.1,5,ols,0.01875050832704855
17,500,500,0.1,5,ridge,0.0160740511683867
18,500,500,0.1,6,lasso,-0.0005883591806154999
19,500,500,0.1,6,ols,0.0024940923961082016
20,500,500,0.1,6,ridge,0.0031827906132335998
21,500,500,0.1,7,lasso,-0.000307798139085873
22,500,500,0.1,7,ols,0.0077203800497868
23,500,500,0.1,7,ridge,0.009080702295225299
24,500,500,0.1,8,lasso,7.027259379089983e-05
25,500,500,0.1,8,ols,0.009539075190478
26,500,500,0.1,8,ridge,0.014196624704813372
27,500,500,0.1,9,lasso,0.0003702767404292996
28,500,500,0.1,9,ols,0.014671158970903049
29,500,500,0.1,9,ridge,0.014472125493532299
30,500,500,0.1,10,lasso,0.0007051798469388994
31,500,500,0.1,10,ols,0.03433456869150325
32,500,500,0.1,10,ridge,0.029862424464979047
33,500,500,0.1,11,lasso,0.001934125175101901
34,500,500,0.1,11,ols,0.03449487757778695
35,500,500,0.1,11,ridge,0.02462750991244205
36,500,500,0.1,12,lasso,-0.0007266612987854495
37,500,500,0.1,12,ols,0.03031506165287785
38,500,500,0.1,12,ridge,0.0343117494297649
39,500,500,0.1,13,lasso,0.00043928210474305
40,500,500,0.1,13,ols,0.0210684382332808
41,500,500,0.1,13,ridge,0.018409703221948452
42,500,500,0.1,14,lasso,0.0011766190566694494
43,500,500,0.1,14,ols,0.0068179056868016
44,500,500,0.1,14,ridge,0.00708691447207605
45,500,500,0.1,15,lasso,-8.54769198564e-05
46,500,500,0.1,15,ols,0.0496926877778647
47,500,500,0.1,15,ridge,0.04760196048613525
48,500,500,0.1,16,lasso,0.0013923445095038
49,500,500,0.1,16,ols,0.03314144262814116
50,500,500,0.1,16,ridge,0.02129611510621684
51,500,500,0.1,17,lasso,0.0005900532569543997
52,500,500,0.1,17,ols,0.0065562190403311
53,500,500,0.1,17,ridge,0.0074739199532401
54,500,500,0.1,18,lasso,0.0003257569673016012
55,500,500,0.1,18,ols,0.009679508291882548
56,500,500,0.1,18,ridge,0.00815504068575705
57,500,500,0.1,19,lasso,-0.00091813917038125
58,500,500,0.1,19,ols,0.003714367996311051
59,500,500,0.1,19,ridge,0.004561396607461949
60,500,500,0.1,20,lasso,0.0007161240129726995
61,500,500,0.1,20,ols,0.04645709131580515
62,500,500,0.1,20,ridge,0.0456017260999712
63,500,500,0.1,21,lasso,0.00034738455439719943
64,500,500,0.1,21,ols,0.0200735705735679
65,500,500,0.1,21,ridge,0.019691236569703098
66,500,500,0.1,22,lasso,0.0007519065502913501
67,500,500,0.1,22,ols,0.0177071780576198
68,500,500,0.1,22,ridge,0.0230187931509779
69,500,500,0.1,23,lasso,0.00201405508852615
70,500,500,0.1,23,ols,0.01509449820295385
71,500,500,0.1,23,ridge,0.017247860409225952
72,500,500,0.1,24,lasso,0.000483409995334
73,500,500,0.1,24,ols,0.0956767360256548
74,500,500,0.1,24,ridge,0.10167887919990165
75,500,500,0.1,25,lasso,-0.00042093615965371105
76,500,500,0.1,25,ols,0.019263415199123203
77,500,500,0.1,25,ridge,0.013534920070579486
78,500,500,0.1,26,lasso,0.0024149806311920497
79,500,500,0.1,26,ols,0.10498196764767814
80,500,500,0.1,26,ridge,0.09905303171609295
81,500,500,0.1,27,lasso,0.001581419026991
82,500,500,0.1,27,ols,0.03504744168940785
83,500,500,0.1,27,ridge,0.0232094312978112
84,500,500,0.1,28,lasso,0.0008039313576293497
85,500,500,0.1,28,ols,0.0031394535877448497
86,500,500,0.1,28,ridge,0.002850572805462549
87,500,500,0.1,29,lasso,0.0007420315449063503
88,500,500,0.1,29,ols,0.00724906650609935
89,500,500,0.1,29,ridge,0.006078911216385751
90,500,500,0.1,30,lasso,0.0011207181231163502
91,500,500,0.1,30,ols,0.01431177210230095
92,500,500,0.1,30,ridge,0.01649071396271865
93,500,500,0.1,31,lasso,0.0003888883729441998
94,500,500,0.1,31,ols,0.008207938264814148
95,500,500,0.1,31,ridge,0.01395618604337405
96,500,500,0.1,32,lasso,0.0009647069088606
97,500,500,0.1,32,ols,0.013218499166838
98,500,500,0.1,32,ridge,0.016452661909747
99,500,500,0.1,33,lasso,-0.00042825693202404997
100,500,500,0.1,33,ols,0.005114027760392402
101,500,500,0.1,33,ridge,0.009030035530594699
102,500,500,0.1,34,lasso,0.0012598626989607968
103,500,500,0.1,34,ols,0.01512199029628065
104,500,500,0.1,34,ridge,0.0164767557046709
105,500,500,0.1,35,lasso,0.0015645168864282502
106,500,500,0.1,35,ols,0.0017849392843943502
107,500,500,0.1,35,ridge,0.0110634708710028
108,500,500,0.1,36,lasso,0.0010841079185580499
109,500,500,0.1,36,ols,0.014511338137494851
110,500,500,0.1,36,ridge,0.01253141964234275
111,500,500,0.1,37,lasso,0.0023473378268495993
112,500,500,0.1,37,ols,7.885862187341836
113,500,500,0.1,37,ridge,0.7384265704709676
114,500,500,0.1,38,lasso,0.0009257893795201009
115,500,500,0.1,38,ols,0.0452531078334501
116,500,500,0.1,38,ridge,0.0411155675360255
117,500,500,0.1,39,lasso,0.0008555815944508998
118,500,500,0.1,39,ols,0.025791681908630352
119,500,500,0.1,39,ridge,0.024507856734433002
120,500,500,0.1,40,lasso,0.0011528630549284494
121,500,500,0.1,40,ols,0.0491599201499808
122,500,500,0.1,40,ridge,0.047557424964142905
123,500,500,0.1,41,lasso,0.00081152168259245
124,500,500,0.1,41,ols,0.01631426242056955
125,500,500,0.1,41,ridge,0.0179540443889424
126,500,500,0.1,42,lasso,0.0018304859101989017
