,n_A,n_B,noise_level,iteration,method,bench_test,cluster_test
0,500,500,0.1,0,lasso,0.00975977400358195,0.0095917365512836
1,500,500,0.1,0,ols,0.016300693739353903,0.0118933402246296
2,500,500,0.1,0,ridge,0.015362186266858549,0.00890465999285615
3,500,500,0.1,1,lasso,0.009933059268939351,0.0103463868562135
4,500,500,0.1,1,ols,0.01713506148204265,0.0120245062081567
5,500,500,0.1,1,ridge,0.017468594627557052,0.01177612508641745
6,500,500,0.1,2,lasso,0.023687181550738803,0.022727989741427902
7,500,500,0.1,2,ols,0.17189830225596645,0.031656816031378
8,500,500,0.1,2,ridge,0.15205027252109543,0.02744607828427135
9,500,500,0.1,3,lasso,0.0322018583043589,0.0271686533821276
10,500,500,0.1,3,ols,0.09474513757037376,0.0493635799210391
11,500,500,0.1,3,ridge,0.07841912478723334,0.03286821051531855
12,500,500,0.1,4,lasso,0.01612363396887255,0.02177632019141805
13,500,500,0.1,4,ols,0.19796229247652936,0.0297383159311271
14,500,500,0.1,4,ridge,0.1360772342687265,0.0264542110537613
15,500,500,0.1,5,lasso,0.0152412385952097,0.01425136023088335
16,500,500,0.1,5,ols,0.046708978042442256,0.0198238725797216
17,500,500,0.1,5,ridge,0.040707674764910204,0.01657927649262645
18,500,500,0.1,6,lasso,0.00999618821445995,0.01357365110526125
19,500,500,0.1,6,ols,0.029236162866279898,0.02056862108138445
20,500,500,0.1,6,ridge,0.02822326607082635,0.020835675217546902
21,500,500,0.1,7,lasso,0.0100770938352942,0.0109439087677662
22,500,500,0.1,7,ols,0.040022843392413396,0.0255792829625634
23,500,500,0.1,7,ridge,0.0400725250901134,0.02321920776307065
24,500,500,0.1,8,lasso,0.013151560674071899,0.01230581125952785
25,500,500,0.1,8,ols,0.0348286528169392,0.015548904946572701
26,500,500,0.1,8,ridge,0.032183713561872204,0.0121132827846468
27,500,500,0.1,9,lasso,0.00939293645068655,0.0081611495066039
28,500,500,0.1,9,ols,0.02834607477579015,0.0105628331547175
29,500,500,0.1,9,ridge,0.02621190683722335,0.0094638372122877
30,500,500,0.1,10,lasso,0.01307481388294575,0.013092854010150801
31,500,500,0.1,10,ols,0.052282034916190004,0.015212293152374299
32,500,500,0.1,10,ridge,0.04882870526971495,0.0123687982313457
33,500,500,0.1,11,lasso,0.013803685069034649,0.01025091903814545
34,500,500,0.1,11,ols,0.05642004680132805,0.0143715392199168
35,500,500,0.1,11,ridge,0.0374432843749454,0.01061291170541035
36,500,500,0.1,12,lasso,0.0184474655352523,0.0188687542194226
37,500,500,0.1,12,ols,0.0742468085760897,0.029792750278086998
38,500,500,0.1,12,ridge,0.0613532982824276,0.02470154944730995
39,500,500,0.1,13,lasso,0.01082603361639015,0.0105262476633416
40,500,500,0.1,13,ols,0.03703960968994935,0.01171987786976795
41,500,500,0.1,13,ridge,0.030747819788290102,0.01071663963454735
42,500,500,0.1,14,lasso,0.01249214415560275,0.0108806289538693
43,500,500,0.1,14,ols,0.025295062049679552,0.01274752857192585
44,500,500,0.1,14,ridge,0.02493826602567035,0.012233822646304598
45,500,500,0.1,15,lasso,0.01867557001984175,0.013712319968364351
46,500,500,0.1,15,ols,0.0886408481372047,0.022505056683999852
47,500,500,0.1,15,ridge,0.07801839739250585,0.0190398805931828
48,500,500,0.1,16,lasso,0.01395730329269085,0.01301055700565555
49,500,500,0.1,16,ols,0.0697775639788207,0.0256112276507522
50,500,500,0.1,16,ridge,0.0540207470198972,0.0283064111506255
51,500,500,0.1,17,lasso,0.01502418756956595,0.014509761962227051
52,500,500,0.1,17,ols,0.0296547091140814,0.020446165289009048
53,500,500,0.1,17,ridge,0.023314372234808048,0.01351794033405645
54,500,500,0.1,18,lasso,0.01075868741487325,0.0105488847464988
55,500,500,0.1,18,ols,0.0254391652977328,0.0141367130651766
56,500,500,0.1,18,ridge,0.0240952558465269,0.012298305292545601
57,500,500,0.1,19,lasso,0.01289332544086475,0.0140099602843349
58,500,500,0.1,19,ols,0.0219223070679846,0.01622550479856895
59,500,500,0.1,19,ridge,0.022210384329914498,0.0152400438727971
60,500,500,0.1,20,lasso,0.0191194261920738,0.01729040526700055
61,500,500,0.1,20,ols,0.0802390370627366,0.020438760304458597
62,500,500,0.1,20,ridge,0.0812098496956752,0.0211790309158501
63,500,500,0.1,21,lasso,0.0132143532387593,0.01363514734152175
64,500,500,0.1,21,ols,0.046484235530054305,0.01507486468316525
65,500,500,0.1,21,ridge,0.0412755444724589,0.0133935862370957
66,500,500,0.1,22,lasso,0.0107409467121777,0.010405008424177
67,500,500,0.1,22,ols,0.03900309103004275,0.0151930053968262
68,500,500,0.1,22,ridge,0.03582836681466385,0.01147804266437985
69,500,500,0.1,23,lasso,0.014109011627683351,0.01265950082350255
70,500,500,0.1,23,ols,0.03196356115590865,0.01324444435333495
71,500,500,0.1,23,ridge,0.0306960074448398,0.0122154515314498
72,500,500,0.1,24,lasso,0.014708606465268101,0.01969226214599665
73,500,500,0.1,24,ols,0.14196729359583116,0.0171794832288689
74,500,500,0.1,24,ridge,0.12319733576270285,0.017545488569951
75,500,500,0.1,25,lasso,0.01770200048549405,0.0191220065537435
76,500,500,0.1,25,ols,0.10731623706102575,0.0630623728946995
77,500,500,0.1,25,ridge,0.1044887202282611,0.0759297258807067
78,500,500,0.1,26,lasso,0.01640632642683025,0.0138652296735282
79,500,500,0.1,26,ols,0.12706208749622475,0.0145737351518522
80,500,500,0.1,26,ridge,0.13144929504441477,0.013645133078601001
81,500,500,0.1,27,lasso,0.01403837878906835,0.0137016170316866
82,500,500,0.1,27,ols,0.06456163981662155,0.017775942388225947
83,500,500,0.1,27,ridge,0.05805489481209765,0.017665298129541
84,500,500,0.1,28,lasso,0.01817458039916245,0.016629582229593702
85,500,500,0.1,28,ols,0.022623408312591402,0.0154803264668996
86,500,500,0.1,28,ridge,0.0214592614508642,0.01510869938516495
87,500,500,0.1,29,lasso,0.01163040974237995,0.00985450389919195
88,500,500,0.1,29,ols,0.022338654020077897,0.0112450943857859
89,500,500,0.1,29,ridge,0.02124676073746575,0.010369221338583048
90,500,500,0.1,30,lasso,0.01295648164005175,0.0116733496567512
91,500,500,0.1,30,ols,0.030718646954247898,0.01471415155454675
92,500,500,0.1,30,ridge,0.03126667848735205,0.0128039932870401
93,500,500,0.1,31,lasso,0.02513919884368555,0.022112213604274948
94,500,500,0.1,31,ols,0.0546272424467149,0.03922522338064825
95,500,500,0.1,31,ridge,0.056275614947621455,0.034418350891315
96,500,500,0.1,32,lasso,0.014305939369755199,0.01345951147988575
97,500,500,0.1,32,ols,0.04100700541323045,0.0184919600250174
98,500,500,0.1,32,ridge,0.0356002361976619,0.01408698246494555
99,500,500,0.1,33,lasso,0.0159515221908028,0.0163080910839003
100,500,500,0.1,33,ols,0.0373907845861441,0.02434570692074195
101,500,500,0.1,33,ridge,0.033802567595670005,0.0224218373090188
102,500,500,0.1,34,lasso,0.01401215868617875,0.0118361004733747
103,500,500,0.1,34,ols,0.0349399455327532,0.012515330266774049
104,500,500,0.1,34,ridge,0.03587821995393895,0.01038220456498
105,500,500,0.1,35,lasso,0.01556924884524925,0.0136598812693247
106,500,500,0.1,35,ols,0.027288431724196,0.024225566058334952
107,500,500,0.1,35,ridge,0.02687219381421145,0.01458688345398735
108,500,500,0.1,36,lasso,0.01350565093679795,0.01058919640846275
109,500,500,0.1,36,ols,0.031220531938934752,0.010808795659352801
110,500,500,0.1,36,ridge,0.025466249339380298,0.010033801788335149
111,500,500,0.1,37,lasso,0.01328011055139585,0.0087381055120493
112,500,500,0.1,37,ols,7.9039925733008545,0.010626436124329449
113,500,500,0.1,37,ridge,0.7549624300658259,0.009639777758274001
114,500,500,0.1,38,lasso,0.01398160103717065,0.01340728605738165
115,500,500,0.1,38,ols,0.0667077345909271,0.0140145989298806
116,500,500,0.1,38,ridge,0.05931606283859785,0.0132944972509718
117,500,500,0.1,39,lasso,0.0126223224158347,0.0119925379309814
118,500,500,0.1,39,ols,0.0510407743243589,0.02091908522977635
119,500,500,0.1,39,ridge,0.04921811004677655,0.01719064577135555
120,500,500,0.1,40,lasso,0.01258208795982405,0.0103686750149163
121,500,500,0.1,40,ols,0.07293943863526076,0.016843804000984848
122,500,500,0.1,40,ridge,0.06714851714734504,0.014547320427594601
123,500,500,0.1,41,lasso,0.01381633138795025,0.0125843021366592
124,500,500,0.1,41,ols,0.0355972733621306,0.0139331878976429
125,500,500,0.1,41,ridge,0.0311529798108438,0.0138438683504531
126,500,500,0.1,42,lasso,0.01466133116825185,0.0120745339941184
127,500,500,0.1,42,ols,0.03003361653082435,0.01205104809538085
128,500,500,0.1,42,ridge,0.02966042893805415,0.01204273397654225
129,500,500,0.1,43,lasso,0.018389244300265048,0.017428999441437852
130,500,500,0.1,43,ols,0.05972498799498855,0.0405467014573258
131,500,500,0.1,43,ridge,0.05065310491079285,0.03986531094602075
132,500,500,0.1,44,lasso,0.0150493914385756,0.01302240661348005
133,500,500,0.1,44,ols,0.02530386243302965,0.0167460199712129
134,500,500,0.1,44,ridge,0.02264858268606855,0.0144153826095643
135,500,500,0.1,45,lasso,0.0111181742520251,0.0102942148082472
136,500,500,0.1,45,ols,0.011305449832308051,0.013225328802466949
137,500,500,0.1,45,ridge,0.01066155421343625,0.00924612077348335
138,500,500,0.1,46,lasso,0.01154211617819155,0.01152976743598735
139,500,500,0.1,46,ols,0.0449235333785291,0.01305502369457795
140,500,500,0.1,46,ridge,0.043478334339633995,0.0116677508971907
141,500,500,0.1,47,lasso,0.0126930714392971,0.01100307870899595
142,500,500,0.1,47,ols,0.04705113730491515,0.0106751975327164
143,500,500,0.1,47,ridge,0.0404003316699519,0.01072819815042125
144,500,500,0.1,48,lasso,0.0111777720384675,0.011479099437349299
145,500,500,0.1,48,ols,0.01956241243688605,0.013838103469172
146,500,500,0.1,48,ridge,0.0179960300740565,0.01244020999039005
147,500,500,0.1,49,lasso,0.01466084135685125,0.01646026831283165
148,500,500,0.1,49,ols,0.03623055676342635,0.02215097844991705
149,500,500,0.1,49,ridge,0.037847390268266945,0.0211609894131711
150,500,500,0.1,50,lasso,0.0164256235635826,0.01460765431229085
151,500,500,0.1,50,ols,0.019484143602576498,0.0171305458831996
152,500,500,0.1,50,ridge,0.01952387362293905,0.01548065510389925
153,500,500,0.1,51,lasso,0.01091379662624795,0.01110641936649275
154,500,500,0.1,51,ols,0.046192533355813,0.0114009872046598
155,500,500,0.1,51,ridge,0.04103349709254435,0.0122311205128071
156,500,500,0.1,52,lasso,0.012542145109062399,0.010971577465859899
157,500,500,0.1,52,ols,0.0318349085004171,0.0139958776680654
158,500,500,0.1,52,ridge,0.02742109763595785,0.01414756796697645
159,500,500,0.1,53,lasso,0.0292809414226378,0.032011202114241
160,500,500,0.1,53,ols,0.10241015733682521,0.0609924161026962
161,500,500,0.1,53,ridge,0.09262055773665939,0.04748849676877975
162,500,500,0.1,54,lasso,0.01388134112645365,0.011153749957444451
163,500,500,0.1,54,ols,0.0556829374913771,0.012478232774781349
164,500,500,0.1,54,ridge,0.05367469785067795,0.0116054350453448
165,500,500,0.1,55,lasso,0.0095649823876889,0.010292443271827548
166,500,500,0.1,55,ols,0.04374528461396675,0.0120570121645823
167,500,500,0.1,55,ridge,0.03978267441926,0.010649292821606399
168,500,500,0.1,56,lasso,0.01133002129027595,0.01118114985281345
169,500,500,0.1,56,ols,0.02129862128070065,0.01222458923706045
170,500,500,0.1,56,ridge,0.02258337670451165,0.01301298732833755
171,500,500,0.1,57,lasso,0.01370804982949435,0.0406488949419431
172,500,500,0.1,57,ols,0.023953320217281998,0.05354929148414325
173,500,500,0.1,57,ridge,0.0195756823923523,0.03640714449576035
174,500,500,0.1,58,lasso,0.018815698171683,0.016291334971637053
175,500,500,0.1,58,ols,0.03337666434709255,0.01748006531811435
176,500,500,0.1,58,ridge,0.031321479301347946,0.016094660624919148
177,500,500,0.1,59,lasso,0.013844592826347049,0.0131189000499084
178,500,500,0.1,59,ols,0.1075044406117951,0.0159413865811039
179,500,500,0.1,59,ridge,0.08979182668774754,0.0154246121652496
180,500,500,0.1,60,lasso,0.0185597071078604,0.0169136870276633
181,500,500,0.1,60,ols,0.061292344395564705,0.04681070407376075
182,500,500,0.1,60,ridge,0.05563360558794115,0.015353112244061499
183,500,500,0.1,61,lasso,0.01893077671518075,0.01844499728198255
184,500,500,0.1,61,ols,0.028554994582586903,0.02482236322222095
185,500,500,0.1,61,ridge,0.02369751443862555,0.0214157376676344
186,500,500,0.1,62,lasso,0.01663768864491785,0.01446967620744195
187,500,500,0.1,62,ols,0.09714847768324206,0.01658647329833095
188,500,500,0.1,62,ridge,0.09730997706547426,0.015413546124531049
189,500,500,0.1,63,lasso,0.01184529899121305,0.01390122011418295
190,500,500,0.1,63,ols,0.0401335919445585,0.0174224519141019
